#,Date,Airport,Business Jet,Business Aviation,Departures,Arrivals,Total Operations,Departure Seats,Average Departure Seats,Arrival Seats,Average Arrival Seats
746,01/2012,DTW - Detroit,No,No,"16,463","16,469","32,932","1,576,784",95,"1,579,508",95
747,01/2012,DTW - Detroit,No,Yes,44,49,93,257,5,290,5
Sub-Total for No,,,,,"16,507","16,518","33,025","1,577,041",95,"1,579,798",95
748,01/2012,DTW - Detroit,Yes,Yes,227,233,460,"2,391",10,"2,480",10
Sub-Total for Yes,,,,,271,282,553,"2,648",9,"2,770",9
Sub-Total for DTW - Detroit,,,,,"16,734","16,751","33,485","1,579,432",94,"1,582,278",94
749,01/2012,EWR - Newark,No,No,"16,415","16,461","32,876","1,879,603",114,"1,887,249",114
750,01/2012,EWR - Newark,No,Yes,195,203,398,"1,725",8,"1,817",8
Sub-Total for No,,,,,"16,610","16,664","33,274","1,881,328",113,"1,889,066",113
751,01/2012,EWR - Newark,Yes,Yes,180,179,359,"2,104",11,"2,103",11
Sub-Total for Yes,,,,,375,382,757,"3,829",10,"3,920",10
Sub-Total for EWR - Newark,,,,,"16,790","16,843","33,633","1,883,432",112,"1,891,169",112
752,01/2012,IAH - Houston,No,No,"20,691","20,712","41,403","2,111,463",102,"2,104,720",101
753,01/2012,IAH - Houston,No,Yes,128,126,254,"1,262",9,"1,256",9
Sub-Total for No,,,,,"20,819","20,838","41,657","2,112,725",101,"2,105,976",101
754,01/2012,IAH - Houston,Yes,Yes,483,474,957,"5,461",11,"5,316",11
Sub-Total for Yes,,,,,611,600,"1,211","6,723",11,"6,572",10
Sub-Total for IAH - Houston,,,,,"21,302","21,312","42,614","2,118,186",99,"2,111,292",99
755,01/2012,JFK - New York,No,No,"15,866","16,005","31,871","2,614,928",164,"2,638,825",164
756,01/2012,JFK - New York,No,Yes,30,25,55,189,6,169,6
Sub-Total for No,,,,,"15,896","16,030","31,926","2,615,117",164,"2,638,994",164
757,01/2012,JFK - New York,Yes,Yes,166,173,339,"1,849",11,"1,937",11
Sub-Total for Yes,,,,,196,198,394,"2,038",10,"2,106",10
Sub-Total for JFK - New York,,,,,"16,062","16,203","32,265","2,616,966",162,"2,640,931",162
758,01/2012,LAS - Las Vegas,No,No,"14,394","14,375","28,769","1,989,185",138,"1,986,441",138
759,01/2012,LAS - Las Vegas,No,Yes,386,371,757,"2,904",7,"2,803",7
Sub-Total for No,,,,,"14,780","14,746","29,526","1,992,089",134,"1,989,244",134
760,01/2012,LAS - Las Vegas,Yes,Yes,"2,383","2,317","4,700","25,674",10,"24,974",10
Sub-Total for Yes,,,,,"2,769","2,688","5,457","28,578",10,"27,777",10
Sub-Total for LAS - Las Vegas,,,,,"17,163","17,063","34,226","2,017,763",117,"2,014,218",118
761,01/2012,LAX - Los Angeles,No,No,"23,631","23,610","47,241","3,255,031",137,"3,248,092",137
762,01/2012,LAX - Los Angeles,No,Yes,74,75,149,565,7,568,7
Sub-Total for No,,,,,"23,705","23,685","47,390","3,255,596",137,"3,248,660",137
763,01/2012,LAX - Los Angeles,Yes,Yes,922,911,"1,833","11,000",11,"10,858",11
Sub-Total for Yes,,,,,996,986,"1,982","11,565",11,"11,426",11
Sub-Total for LAX - Los Angeles,,,,,"24,627","24,596","49,223","3,266,596",132,"3,259,518",132
764,01/2012,LGA - New York,No,No,"14,576","14,544","29,120","1,394,250",95,"1,391,195",95
765,01/2012,LGA - New York,No,Yes,31,37,68,253,8,287,7
Sub-Total for No,,,,,"14,607","14,581","29,188","1,394,503",95,"1,391,482",95
766,01/2012,LGA - New York,Yes,Yes,279,288,567,"3,260",11,"3,382",11
Sub-Total for Yes,,,,,310,325,635,"3,513",11,"3,669",11
Sub-Total for LGA - New York,,,,,"14,886","14,869","29,755","1,397,763",93,"1,394,864",93
767,01/2012,MCO - Orlando,No,No,"11,968","11,951","23,919","1,730,216",144,"1,731,840",144
768,01/2012,MCO - Orlando,No,Yes,199,199,398,"1,043",5,977,4
Sub-Total for No,,,,,"12,167","12,150","24,317","1,731,259",142,"1,732,817",142
769,01/2012,MCO - Orlando,Yes,Yes,634,650,"1,284","6,530",10,"6,599",10
Sub-Total for Yes,,,,,833,849,"1,682","7,573",9,"7,576",8
Sub-Total for MCO - Orlando,,,,,"12,801","12,800","25,601","1,737,789",135,"1,739,416",135
770,01/2012,MIA - Miami,No,No,"16,194","16,196","32,390","2,548,553",157,"2,556,330",157
771,01/2012,MIA - Miami,No,Yes,205,191,396,"1,490",7,"1,397",7
Sub-Total for No,,,,,"16,399","16,387","32,786","2,550,043",155,"2,557,727",156
772,01/2012,MIA - Miami,Yes,Yes,"1,216","1,224","2,440","12,926",10,"12,994",10
Sub-Total for Yes,,,,,"1,421","1,415","2,836","14,416",10,"14,391",10
Sub-Total for MIA - Miami,,,,,"17,615","17,611","35,226","2,562,969",145,"2,570,721",145
773,01/2012,MSP - Minneapolis,No,No,"15,745","15,743","31,488","1,552,600",98,"1,553,089",98
774,01/2012,MSP - Minneapolis,No,Yes,238,254,492,"1,108",4,"1,193",4
Sub-Total for No,,,,,"15,983","15,997","31,980","1,553,708",97,"1,554,282",97
775,01/2012,MSP - Minneapolis,Yes,Yes,487,503,990,"5,516",11,"5,687",11
Sub-Total for Yes,,,,,725,757,"1,482","6,624",9,"6,880",9
Sub-Total for MSP - Minneapolis,,,,,"16,470","16,500","32,970","1,559,224",94,"1,559,969",94
776,01/2012,ORD - Chicago,No,No,"33,396","33,436","66,832","3,388,613",101,"3,398,415",101
777,01/2012,ORD - Chicago,No,Yes,183,179,362,"2,137",11,"2,097",11
Sub-Total for No,,,,,"33,579","33,615","67,194","3,390,750",100,"3,400,512",101
778,01/2012,ORD - Chicago,Yes,Yes,271,276,547,"2,993",11,"3,027",10
Sub-Total for Yes,,,,,454,455,909,"5,130",11,"5,124",11
Sub-Total for ORD - Chicago,,,,,"33,850","33,891","67,741","3,393,743",100,"3,403,539",100
779,01/2012,PHL - Philadelphia,No,No,"17,428","17,403","34,831","1,613,710",92,"1,617,995",92
780,01/2012,PHL - Philadelphia,No,Yes,119,108,227,643,5,575,5
Sub-Total for No,,,,,"17,547","17,511","35,058","1,614,353",92,"1,618,570",92
781,01/2012,PHL - Philadelphia,Yes,Yes,530,533,"1,063","5,650",10,"5,697",10
Sub-Total for Yes,,,,,649,641,"1,290","6,293",9,"6,272",9
Sub-Total for PHL - Philadelphia,,,,,"18,077","18,044","36,121","1,620,003",89,"1,624,267",90
782,01/2012,PHX - Phoenix,No,No,"17,814","17,571","35,385","2,160,256",121,"2,163,409",123
783,01/2012,PHX - Phoenix,No,Yes,589,407,996,"2,634",4,"1,666",4
Sub-Total for No,,,,,"18,403","17,978","36,381","2,162,890",117,"2,165,075",120
784,01/2012,PHX - Phoenix,Yes,Yes,655,657,"1,312","6,509",9,"6,575",10
Sub-Total for Yes,,,,,"1,244","1,064","2,308","9,143",7,"8,241",7
Sub-Total for PHX - Phoenix,,,,,"19,058","18,635","37,693","2,169,399",113,"2,171,650",116
785,01/2012,SEA - Seattle,No,No,"11,242","11,273","22,515","1,458,969",129,"1,460,968",129
786,01/2012,SEA - Seattle,No,Yes,86,99,185,53,0,59,0
Sub-Total for No,,,,,"11,328","11,372","22,700","1,459,022",128,"1,461,027",128
787,01/2012,SEA - Seattle,Yes,Yes,67,64,131,765,11,730,11
Sub-Total for Yes,,,,,153,163,316,818,5,789,4
Sub-Total for SEA - Seattle,,,,,"11,395","11,436","22,831","1,459,787",128,"1,461,757",127
788,01/2012,SFO - San Francisco,No,No,"15,500","15,512","31,012","2,140,402",138,"2,145,065",138
789,01/2012,SFO - San Francisco,No,Yes,122,122,244,827,6,822,6
Sub-Total for No,,,,,"15,622","15,634","31,256","2,141,229",137,"2,145,887",137
790,01/2012,SFO - San Francisco,Yes,Yes,902,918,"1,820","10,071",11,"10,287",11
Sub-Total for Yes,,,,,"1,024","1,040","2,064","10,898",10,"11,109",10
Sub-Total for SFO - San Francisco,,,,,"16,524","16,552","33,076","2,151,300",130,"2,156,174",130
Sub-Total for 01/2012,,,,,"397,308","396,728","794,036","45,382,712",114,"45,449,446",114
791,02/2012,ATL - Atlanta,No,No,"35,236","35,200","70,436","4,471,250",126,"4,470,097",126
792,02/2012,ATL - Atlanta,No,Yes,193,188,381,"2,324",12,"2,316",12
Sub-Total for No,,,,,"35,429","35,388","70,817","4,473,574",126,"4,472,413",126
793,02/2012,ATL - Atlanta,Yes,Yes,203,200,403,"2,024",9,"2,003",10
Sub-Total for Yes,,,,,396,388,784,"4,348",10,"4,319",11
Sub-Total for ATL - Atlanta,,,,,"35,632","35,588","71,220","4,475,598",125,"4,474,416",125
794,02/2012,BOS - Boston,No,No,"11,431","11,338","22,769","1,401,622",122,"1,400,902",123
795,02/2012,BOS - Boston,No,Yes,"1,091",801,"1,892","4,965",4,"3,811",4
Sub-Total for No,,,,,"12,522","12,139","24,661","1,406,587",112,"1,404,713",115
796,02/2012,BOS - Boston,Yes,Yes,742,753,"1,495","8,414",11,"8,505",11
Sub-Total for Yes,,,,,"1,833","1,554","3,387","13,379",7,"12,316",7
Sub-Total for BOS - Boston,,,,,"13,264","12,892","26,156","1,415,001",106,"1,413,218",109
797,02/2012,CLT - Charlotte,No,No,"20,184","20,204","40,388","2,012,888",99,"2,013,434",99
798,02/2012,CLT - Charlotte,No,Yes,447,451,898,"3,046",6,"3,069",6
Sub-Total for No,,,,,"20,631","20,655","41,286","2,015,934",97,"2,016,503",97
799,02/2012,CLT - Charlotte,Yes,Yes,752,754,"1,506","8,331",11,"8,366",11
Sub-Total for Yes,,,,,"1,199","1,205","2,404","11,377",9,"11,435",9
Sub-Total for CLT - Charlotte,,,,,"21,383","21,409","42,792","2,024,265",94,"2,024,869",94
800,02/2012,DEN - Denver,No,No,"23,020","23,005","46,025","2,365,141",102,"2,360,351",102
801,02/2012,DEN - Denver,No,Yes,157,155,312,"1,211",7,"1,204",7
Sub-Total for No,,,,,"23,177","23,160","46,337","2,366,352",102,"2,361,555",101
802,02/2012,DEN - Denver,Yes,Yes,169,168,337,"1,845",10,"1,836",10
Sub-Total for Yes,,,,,326,323,649,"3,056",9,"3,040",9
Sub-Total for DEN - Denver,,,,,"23,346","23,328","46,674","2,368,197",101,"2,363,391",101
803,02/2012,DFW - Dallas/Ft. Worth,No,No,"24,485","24,445","48,930","2,916,898",119,"2,910,535",119
804,02/2012,DFW - Dallas/Ft. Worth,No,Yes,171,144,315,"1,921",11,"1,581",10
Sub-Total for No,,,,,"24,656","24,589","49,245","2,918,819",118,"2,912,116",118
805,02/2012,DFW - Dallas/Ft. Worth,Yes,Yes,235,228,463,"2,405",10,"2,353",10
Sub-Total for Yes,,,,,406,372,778,"4,326",10,"3,934",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"24,891","24,817","49,708","2,921,224",117,"2,914,469",117
806,02/2012,DTW - Detroit,No,No,"15,671","15,632","31,303","1,486,990",94,"1,480,871",94
807,02/2012,DTW - Detroit,No,Yes,46,48,94,304,6,303,6
Sub-Total for No,,,,,"15,717","15,680","31,397","1,487,294",94,"1,481,174",94
808,02/2012,DTW - Detroit,Yes,Yes,203,198,401,"2,122",10,"2,032",10
Sub-Total for Yes,,,,,249,246,495,"2,426",9,"2,335",9
Sub-Total for DTW - Detroit,,,,,"15,920","15,878","31,798","1,489,416",93,"1,483,206",93
809,02/2012,EWR - Newark,No,No,"15,819","15,826","31,645","1,813,709",114,"1,812,879",114
810,02/2012,EWR - Newark,No,Yes,216,210,426,"1,914",8,"1,835",8
Sub-Total for No,,,,,"16,035","16,036","32,071","1,815,623",113,"1,814,714",113
811,02/2012,EWR - Newark,Yes,Yes,216,226,442,"2,493",11,"2,613",11
Sub-Total for Yes,,,,,432,436,868,"4,407",10,"4,448",10
Sub-Total for EWR - Newark,,,,,"16,251","16,262","32,513","1,818,116",111,"1,817,327",111
812,02/2012,IAH - Houston,No,No,"19,674","19,627","39,301","2,008,993",102,"1,996,689",101
813,02/2012,IAH - Houston,No,Yes,119,118,237,"1,197",10,"1,188",10
Sub-Total for No,,,,,"19,793","19,745","39,538","2,010,190",101,"1,997,877",101
814,02/2012,IAH - Houston,Yes,Yes,538,537,"1,075","6,119",11,"6,108",11
Sub-Total for Yes,,,,,657,655,"1,312","7,316",11,"7,296",11
Sub-Total for IAH - Houston,,,,,"20,331","20,282","40,613","2,016,309",99,"2,003,985",98
815,02/2012,JFK - New York,No,No,"15,041","15,040","30,081","2,462,491",163,"2,457,581",163
816,02/2012,JFK - New York,No,Yes,32,34,66,232,7,254,7
Sub-Total for No,,,,,"15,073","15,074","30,147","2,462,723",163,"2,457,835",163
817,02/2012,JFK - New York,Yes,Yes,170,168,338,"1,913",11,"1,866",11
Sub-Total for Yes,,,,,202,202,404,"2,145",10,"2,120",10
Sub-Total for JFK - New York,,,,,"15,243","15,242","30,485","2,464,636",161,"2,459,701",161
818,02/2012,LAS - Las Vegas,No,No,"13,720","13,729","27,449","1,894,157",138,"1,894,107",137
819,02/2012,LAS - Las Vegas,No,Yes,403,387,790,"2,891",7,"2,851",7
Sub-Total for No,,,,,"14,123","14,116","28,239","1,897,048",134,"1,896,958",134
820,02/2012,LAS - Las Vegas,Yes,Yes,"2,095","2,100","4,195","21,875",10,"22,002",10
Sub-Total for Yes,,,,,"2,498","2,487","4,985","24,766",9,"24,853",9
Sub-Total for LAS - Las Vegas,,,,,"16,218","16,216","32,434","1,918,923",118,"1,918,960",118
821,02/2012,LAX - Los Angeles,No,No,"22,216","22,182","44,398","3,036,876",136,"3,024,768",136
822,02/2012,LAX - Los Angeles,No,Yes,54,56,110,458,8,458,8
Sub-Total for No,,,,,"22,270","22,238","44,508","3,037,334",136,"3,025,226",136
823,02/2012,LAX - Los Angeles,Yes,Yes,759,758,"1,517","8,939",11,"8,986",11
Sub-Total for Yes,,,,,813,814,"1,627","9,397",11,"9,444",11
Sub-Total for LAX - Los Angeles,,,,,"23,029","22,996","46,025","3,046,273",132,"3,034,212",131
824,02/2012,LGA - New York,No,No,"14,568","14,577","29,145","1,369,057",93,"1,370,513",94
825,02/2012,LGA - New York,No,Yes,28,26,54,208,7,195,7
Sub-Total for No,,,,,"14,596","14,603","29,199","1,369,265",93,"1,370,708",93
826,02/2012,LGA - New York,Yes,Yes,335,334,669,"3,834",11,"3,793",11
Sub-Total for Yes,,,,,363,360,723,"4,042",11,"3,988",11
Sub-Total for LGA - New York,,,,,"14,931","14,937","29,868","1,373,099",91,"1,374,501",92
827,02/2012,MCO - Orlando,No,No,"11,722","11,713","23,435","1,697,773",144,"1,698,469",145
828,02/2012,MCO - Orlando,No,Yes,238,223,461,"1,297",5,"1,202",5
Sub-Total for No,,,,,"11,960","11,936","23,896","1,699,070",142,"1,699,671",142
829,02/2012,MCO - Orlando,Yes,Yes,789,797,"1,586","8,232",10,"8,413",10
Sub-Total for Yes,,,,,"1,027","1,020","2,047","9,529",9,"9,615",9
Sub-Total for MCO - Orlando,,,,,"12,749","12,733","25,482","1,707,302",133,"1,708,084",134
830,02/2012,MIA - Miami,No,No,"15,002","14,965","29,967","2,355,269",156,"2,351,778",157
831,02/2012,MIA - Miami,No,Yes,266,253,519,"1,997",7,"1,865",7
Sub-Total for No,,,,,"15,268","15,218","30,486","2,357,266",154,"2,353,643",154
832,02/2012,MIA - Miami,Yes,Yes,"1,248","1,291","2,539","13,560",10,"13,932",10
Sub-Total for Yes,,,,,"1,514","1,544","3,058","15,557",10,"15,797",10
Sub-Total for MIA - Miami,,,,,"16,516","16,509","33,025","2,370,826",143,"2,367,575",143
833,02/2012,MSP - Minneapolis,No,No,"15,221","15,232","30,453","1,508,965",99,"1,508,606",99
834,02/2012,MSP - Minneapolis,No,Yes,240,239,479,"1,118",4,"1,120",4
Sub-Total for No,,,,,"15,461","15,471","30,932","1,510,083",97,"1,509,726",97
835,02/2012,MSP - Minneapolis,Yes,Yes,538,527,"1,065","6,062",11,"5,928",11
Sub-Total for Yes,,,,,778,766,"1,544","7,180",9,"7,048",9
Sub-Total for MSP - Minneapolis,,,,,"15,999","15,998","31,997","1,516,145",94,"1,515,654",94
836,02/2012,ORD - Chicago,No,No,"32,170","32,177","64,347","3,301,458",102,"3,307,372",102
837,02/2012,ORD - Chicago,No,Yes,193,195,388,"2,212",11,"2,225",11
Sub-Total for No,,,,,"32,363","32,372","64,735","3,303,670",102,"3,309,597",102
838,02/2012,ORD - Chicago,Yes,Yes,285,287,572,"3,176",11,"3,251",11
Sub-Total for Yes,,,,,478,482,960,"5,388",11,"5,476",11
Sub-Total for ORD - Chicago,,,,,"32,648","32,659","65,307","3,306,846",101,"3,312,848",101
839,02/2012,PHL - Philadelphia,No,No,"16,396","16,338","32,734","1,503,787",91,"1,503,352",92
840,02/2012,PHL - Philadelphia,No,Yes,141,128,269,809,5,746,5
Sub-Total for No,,,,,"16,537","16,466","33,003","1,504,596",90,"1,504,098",91
841,02/2012,PHL - Philadelphia,Yes,Yes,615,618,"1,233","6,627",10,"6,646",10
Sub-Total for Yes,,,,,756,746,"1,502","7,436",9,"7,392",9
Sub-Total for PHL - Philadelphia,,,,,"17,152","17,084","34,236","1,511,223",88,"1,510,744",88
842,02/2012,PHX - Phoenix,No,No,"16,906","16,661","33,567","2,040,880",120,"2,036,893",122
843,02/2012,PHX - Phoenix,No,Yes,553,413,966,"2,374",4,"1,615",3
Sub-Total for No,,,,,"17,459","17,074","34,533","2,043,254",117,"2,038,508",119
844,02/2012,PHX - Phoenix,Yes,Yes,693,687,"1,380","6,676",9,"6,640",9
Sub-Total for Yes,,,,,"1,246","1,100","2,346","9,050",7,"8,255",7
Sub-Total for PHX - Phoenix,,,,,"18,152","17,761","35,913","2,049,930",112,"2,045,148",115
845,02/2012,SEA - Seattle,No,No,"10,982","10,967","21,949","1,409,249",128,"1,406,694",128
846,02/2012,SEA - Seattle,No,Yes,92,106,198,48,0,44,0
Sub-Total for No,,,,,"11,074","11,073","22,147","1,409,297",127,"1,406,738",127
847,02/2012,SEA - Seattle,Yes,Yes,54,54,108,583,10,591,10
Sub-Total for Yes,,,,,146,160,306,631,4,635,3
Sub-Total for SEA - Seattle,,,,,"11,128","11,127","22,255","1,409,880",126,"1,407,329",126
848,02/2012,SFO - San Francisco,No,No,"14,825","14,790","29,615","2,040,971",137,"2,033,679",137
849,02/2012,SFO - San Francisco,No,Yes,118,118,236,821,6,830,7
Sub-Total for No,,,,,"14,943","14,908","29,851","2,041,792",136,"2,034,509",136
850,02/2012,SFO - San Francisco,Yes,Yes,837,850,"1,687","9,523",11,"9,669",11
Sub-Total for Yes,,,,,955,968,"1,923","10,344",10,"10,499",10
Sub-Total for SFO - San Francisco,,,,,"15,780","15,758","31,538","2,051,315",129,"2,044,178",129
Sub-Total for 02/2012,,,,,"380,563","379,476","760,039","43,254,524",113,"43,193,815",113
851,03/2012,ATL - Atlanta,No,No,"39,757","39,699","79,456","5,053,935",127,"5,046,577",127
852,03/2012,ATL - Atlanta,No,Yes,231,227,458,"2,607",11,"2,568",11
Sub-Total for No,,,,,"39,988","39,926","79,914","5,056,542",126,"5,049,145",126
853,03/2012,ATL - Atlanta,Yes,Yes,222,221,443,"2,175",9,"2,172",9
Sub-Total for Yes,,,,,453,448,901,"4,782",10,"4,740",10
Sub-Total for ATL - Atlanta,,,,,"40,210","40,147","80,357","5,058,717",125,"5,051,317",125
854,03/2012,BOS - Boston,No,No,"12,698","12,639","25,337","1,564,706",123,"1,564,940",123
855,03/2012,BOS - Boston,No,Yes,"1,192",981,"2,173","5,430",4,"4,642",4
Sub-Total for No,,,,,"13,890","13,620","27,510","1,570,136",113,"1,569,582",115
856,03/2012,BOS - Boston,Yes,Yes,856,847,"1,703","9,358",10,"9,215",10
Sub-Total for Yes,,,,,"2,048","1,828","3,876","14,788",7,"13,857",7
Sub-Total for BOS - Boston,,,,,"14,746","14,467","29,213","1,579,494",107,"1,578,797",109
857,03/2012,CLT - Charlotte,No,No,"22,320","22,323","44,643","2,235,114",100,"2,232,486",100
858,03/2012,CLT - Charlotte,No,Yes,422,408,830,"2,898",6,"2,782",6
Sub-Total for No,,,,,"22,742","22,731","45,473","2,238,012",98,"2,235,268",98
859,03/2012,CLT - Charlotte,Yes,Yes,788,791,"1,579","8,563",10,"8,590",10
Sub-Total for Yes,,,,,"1,210","1,199","2,409","11,461",9,"11,372",9
Sub-Total for CLT - Charlotte,,,,,"23,530","23,522","47,052","2,246,575",95,"2,243,858",95
860,03/2012,DEN - Denver,No,No,"26,057","26,035","52,092","2,694,832",103,"2,690,961",103
861,03/2012,DEN - Denver,No,Yes,175,164,339,"1,301",7,"1,257",7
Sub-Total for No,,,,,"26,232","26,199","52,431","2,696,133",102,"2,692,218",102
862,03/2012,DEN - Denver,Yes,Yes,175,171,346,"1,719",9,"1,683",9
Sub-Total for Yes,,,,,350,335,685,"3,020",8,"2,940",8
Sub-Total for DEN - Denver,,,,,"26,407","26,370","52,777","2,697,852",102,"2,693,901",102
863,03/2012,DFW - Dallas/Ft. Worth,No,No,"26,680","26,710","53,390","3,209,937",120,"3,210,220",120
864,03/2012,DFW - Dallas/Ft. Worth,No,Yes,177,170,347,"1,945",10,"1,815",10
Sub-Total for No,,,,,"26,857","26,880","53,737","3,211,882",119,"3,212,035",119
865,03/2012,DFW - Dallas/Ft. Worth,Yes,Yes,235,226,461,"2,357",10,"2,275",10
Sub-Total for Yes,,,,,412,396,808,"4,302",10,"4,090",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"27,092","27,106","54,198","3,214,239",118,"3,214,310",118
866,03/2012,DTW - Detroit,No,No,"18,541","18,583","37,124","1,748,128",94,"1,752,141",94
867,03/2012,DTW - Detroit,No,Yes,37,35,72,227,6,210,6
Sub-Total for No,,,,,"18,578","18,618","37,196","1,748,355",94,"1,752,351",94
868,03/2012,DTW - Detroit,Yes,Yes,221,220,441,"2,294",10,"2,314",10
Sub-Total for Yes,,,,,258,255,513,"2,521",9,"2,524",9
Sub-Total for DTW - Detroit,,,,,"18,799","18,838","37,637","1,750,649",93,"1,754,665",93
869,03/2012,EWR - Newark,No,No,"17,694","17,685","35,379","2,041,289",115,"2,040,121",115
870,03/2012,EWR - Newark,No,Yes,239,236,475,"2,136",8,"2,143",9
Sub-Total for No,,,,,"17,933","17,921","35,854","2,043,425",113,"2,042,264",113
871,03/2012,EWR - Newark,Yes,Yes,234,226,460,"2,663",11,"2,573",11
Sub-Total for Yes,,,,,473,462,935,"4,799",10,"4,716",10
Sub-Total for EWR - Newark,,,,,"18,167","18,147","36,314","2,046,088",112,"2,044,837",112
872,03/2012,IAH - Houston,No,No,"21,832","21,846","43,678","2,245,484",102,"2,238,731",102
873,03/2012,IAH - Houston,No,Yes,151,137,288,"1,458",9,"1,326",9
Sub-Total for No,,,,,"21,983","21,983","43,966","2,246,942",102,"2,240,057",101
874,03/2012,IAH - Houston,Yes,Yes,560,569,"1,129","6,191",11,"6,349",11
Sub-Total for Yes,,,,,711,706,"1,417","7,649",10,"7,675",10
Sub-Total for IAH - Houston,,,,,"22,543","22,552","45,095","2,253,133",99,"2,246,406",99
875,03/2012,JFK - New York,No,No,"16,947","16,967","33,914","2,775,410",163,"2,772,430",163
876,03/2012,JFK - New York,No,Yes,24,23,47,180,7,180,7
Sub-Total for No,,,,,"16,971","16,990","33,961","2,775,590",163,"2,772,610",163
877,03/2012,JFK - New York,Yes,Yes,220,216,436,"2,472",11,"2,436",11
Sub-Total for Yes,,,,,244,239,483,"2,652",10,"2,616",10
Sub-Total for JFK - New York,,,,,"17,191","17,206","34,397","2,778,062",161,"2,775,046",161
878,03/2012,LAS - Las Vegas,No,No,"15,681","15,684","31,365","2,173,709",138,"2,174,316",138
879,03/2012,LAS - Las Vegas,No,Yes,309,318,627,"2,394",7,"2,441",7
Sub-Total for No,,,,,"15,990","16,002","31,992","2,176,103",136,"2,176,757",136
880,03/2012,LAS - Las Vegas,Yes,Yes,"1,890","1,911","3,801","20,041",10,"20,104",10
Sub-Total for Yes,,,,,"2,199","2,229","4,428","22,435",10,"22,545",10
Sub-Total for LAS - Las Vegas,,,,,"17,880","17,913","35,793","2,196,144",122,"2,196,861",122
881,03/2012,LAX - Los Angeles,No,No,"24,864","24,829","49,693","3,404,853",136,"3,401,521",136
882,03/2012,LAX - Los Angeles,No,Yes,80,71,151,627,7,539,7
Sub-Total for No,,,,,"24,944","24,900","49,844","3,405,480",136,"3,402,060",136
883,03/2012,LAX - Los Angeles,Yes,Yes,851,834,"1,685","10,037",11,"9,813",11
Sub-Total for Yes,,,,,931,905,"1,836","10,664",11,"10,352",11
