Date,Facility,Total_ops,Total Delays,TMI_to,Dep,Abrn,TMI_from_local,TMI_from_non_local,Total_occ_at,Total_local_dep,Abrn_dest_to_Delays,Class_AC,Class_AT,Class_GA,Class_Mil,Cause_Wx,Cause_Vol,Cause_Equip,Cause_Rwy,Cause_Other,Avg_delay_time,Total_delay_time
01/07/2011,CLT,1502,2,2,0,0,0,18,18,0,0,1,1,0,0,0,2,0,0,0,18,36
01/07/2011,DEN,1788,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,DFW,1812,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,DTW,1190,0,0,0,0,0,15,15,0,1,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,EWR,940,169,159,10,0,0,5,15,10,5,125,44,0,0,168,1,0,0,0,83,14027
01/07/2011,IAH,1549,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,JFK,1014,43,43,0,0,0,10,10,0,0,31,12,0,0,41,2,0,0,0,65,2795
01/07/2011,LAS,1588,1,1,0,0,0,15,15,0,0,1,0,0,0,0,1,0,0,0,19,19
01/07/2011,LAX,1563,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,LGA,999,262,203,59,0,0,6,65,59,4,145,116,1,0,259,3,0,0,0,60,15720
01/07/2011,MCO,919,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,MIA,1132,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,MSP,1195,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,ORD,2398,42,0,42,0,0,42,84,42,0,42,0,0,0,32,10,0,0,0,20,840
01/07/2011,PHL,1197,73,66,0,7,0,16,23,0,18,39,34,0,0,71,2,0,0,0,84,6132
01/07/2011,PHX,1325,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,SEA,826,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
01/07/2011,SFO,1015,157,154,3,0,0,4,7,3,6,111,46,0,0,154,0,0,3,0,45,7065
